t,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
3682283,0,-0.03,1,0.03,-0.06,0.02,38.9,-3.53,-28.77
3725803,0.01,-0.03,1.01,0.39,0.25,0.08,39,-3.87,-28.91
3775608,0,-0.04,0.99,0.33,0.25,0.2,38.54,-3.61,-29.41
3825679,0.01,-0.03,1,0.27,0.31,0.14,38.72,-3.19,-28.8
3875434,0,-0.03,1,0.33,0.25,0.14,38.7,-3.63,-28.83
3925334,0,-0.03,0.99,0.45,0.37,0.14,39.07,-3.33,-28.93
3974794,0.01,-0.03,1,0.27,0.19,0.2,39.4,-3.2,-28.56
4024179,0.01,-0.03,1,0.45,0.13,0.14,39.21,-3.2,-28.92
4073936,0,-0.03,1,0.27,0.19,0.08,39.4,-3.2,-29.36
4124658,0.01,-0.04,1.01,0.33,0.25,0.32,39.16,-3.69,-29.05
4174690,0,-0.03,1,0.21,0.25,0.02,38.84,-3.1,-29.49
4223428,0.01,-0.03,1,0.21,0.37,0.2,38.72,-3.15,-29.69
4273736,0,-0.03,1,0.33,0.25,0.2,39.06,-3.67,-29.05
4324045,0,-0.03,1,0.33,0.31,0.14,39.17,-3.55,-29.49
4372777,0.01,-0.04,1.01,0.45,0.31,0.26,38.87,-3.39,-28.59
4422855,0,-0.03,1,0.27,0.25,0.2,39.16,-3.85,-28.96
4473231,0.01,-0.03,1.01,0.21,0.19,0.32,39.04,-3.64,-28.69
4521775,0,-0.04,0.99,0.39,0.25,0.45,39,-3.53,-28.41
4571956,0,-0.03,1.01,0.27,0.13,0.32,39.39,-3.91,-27.83
4622036,0.01,-0.03,1,0.76,0.8,-0.1,38.33,-3.08,-29.44
4672482,0,-0.04,1,0.15,0.98,0.02,38.81,-3.6,-28.75
4721936,0,-0.03,1.01,0.21,0.37,0.26,38.68,-2.72,-29.04
4771069,0.01,-0.03,1.01,0.21,0.43,0.02,39.26,-3.36,-27.86
4821885,-0.01,0.01,1,0.15,0.19,-7.61,39.58,-3.3,-28.6
4871091,0.01,-0.03,1.01,1,1.1,0.51,40.17,-4.25,-28.41
4920276,0,-0.03,1,0.7,0.49,0.57,40.08,-4.46,-28.74
4970247,0.01,-0.03,1,1,0.68,0.08,40.42,-4.9,-27.73
5020446,0.01,-0.04,1.01,0.21,0.13,0.51,40.14,-4.39,-27.94
5070635,0,-0.03,1,-0.04,-0.06,0.26,39.87,-4.11,-28.99
5120828,0.01,-0.03,1.01,0.03,0.07,-0.22,39.58,-2.93,-28.17
5169531,0,-0.03,1,0.33,0.31,-2.18,38.64,-2.59,-28.87
5220301,0.01,-0.03,1,0.39,0.37,0.14,38.99,-2.93,-28.31
5269065,0,-0.04,1,0.45,0.25,0.2,39.05,-2.88,-28.88
5319348,0,-0.03,1.01,0.39,0.25,0.2,39.39,-2.58,-28.75
5369730,0.01,-0.03,1,0.45,0.25,0.14,39.34,-2.7,-28.26
5419389,0,-0.04,1,0.27,0.19,0.2,39.45,-3.3,-28.19
5468578,0,-0.03,1.01,0.21,0.31,0.2,39,-2.8,-28.15
5519497,0.01,-0.03,1.01,0.27,0.31,0.2,39.09,-2.83,-28.37
5569468,0,-0.03,1,0.45,0.25,0.08,39.47,-3.15,-28.75
5617983,0.01,-0.03,1.01,0.7,0.55,0.08,39.58,-3.34,-28.08
5668100,0,-0.03,1,2.47,1.1,-0.1,40.38,-4,-28.74
5718398,0.01,-0.04,1.01,10.4,2.57,-0.41,41.39,-5.22,-28.08
5768516,0.01,-0.05,1.01,13.15,1.71,0.14,41.28,-4.27,-29.1
5818634,0.01,-0.06,0.99,5.76,0.31,-0.04,40.56,-3.76,-28.69
5867012,0.01,-0.06,1.02,4.91,0.07,0.14,40.21,-3.34,-28.63
5917078,0,-0.07,1,14.67,0.19,0.02,40.25,-3.11,-28.94
5967450,0.02,-0.08,1,10.22,0.07,0.2,40.11,-2.5,-29.14
6017206,0.01,-0.11,1.03,28.47,-1.28,-2.67,39.61,-0.94,-28.97
6066943,0,-0.15,0.98,28.41,-0.6,-0.16,39.7,0.29,-30.65
6116740,0.01,-0.16,1.01,18.03,-0.18,-0.59,39.34,0.77,-30.1
6167424,0,-0.19,0.97,18.09,0.37,-2.3,39.54,1.28,-29.87
6215930,0,-0.19,1,9.85,0.25,-1.63,39.92,2.29,-29.54
6266234,0.01,-0.21,0.98,14.67,0.25,-2.85,39.42,2.53,-30.8
6316340,0,-0.22,0.98,10.16,-0.06,-0.59,39.28,3.45,-29.43
6366683,0.01,-0.23,0.99,14.19,0.07,0.69,39.88,3.77,-30.08
6415092,0,-0.25,0.96,12.42,0.37,0.63,38.77,4.03,-30.15
6465165,0,-0.25,1,9,-0.24,1.73,39.56,4.17,-30.48
6515355,0.02,-0.28,0.95,20.11,0.07,1.91,39.53,4.7,-30.27
6565513,0,-0.28,0.99,6.5,0.13,0.81,38.68,5.03,-29.97
6614169,0.02,-0.29,0.97,12.9,-0.24,0.51,38.9,5.44,-29.61
6664454,0,-0.31,0.96,5.82,0.31,-0.29,39.05,6.05,-30.57
6714733,0,-0.31,0.97,6.68,0.68,-0.59,38.99,6.3,-29.59
6764314,0.01,-0.31,0.97,4.05,0.62,-1.14,38.46,6.79,-29.42
6813796,0,-0.32,0.96,1.55,0.19,-2.12,37.92,7.13,-29.68
6864539,0.01,-0.32,0.96,0.94,1.47,-2.85,38,7.31,-30.7
6913670,0.01,-0.3,0.98,0.94,0.68,-1.38,38.2,7.21,-30.36
6963894,0,-0.32,0.98,8.33,-0.24,0.69,38.13,7.24,-29.82
7012652,0.01,-0.32,0.96,11.5,0.31,0.69,37.94,7.41,-30
7062724,0,-0.34,0.97,3.69,-0.06,1.3,37.62,7.46,-30.24
7113181,0.02,-0.34,0.94,16.14,-0.97,1.42,37.93,7.89,-30.03
7162382,0,-0.36,0.95,4.42,0.86,-0.65,38,8.48,-30.51
