t,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
24330411,-0.01,-0.03,1,-0.01,0.03,0.06,37.82,-3.26,-28.55
24373988,0.01,-0.03,1,0.35,0.46,0.19,38.18,-3.25,-27.12
24423962,-0.01,-0.03,1,0.41,0.34,0.13,38.17,-3.59,-28.44
24474107,0,-0.03,1,0.29,0.4,0.13,38.55,-3.43,-27.38
24524123,0.01,-0.03,1,0.29,0.28,0.19,38.18,-3,-27.87
24574286,-0.02,-0.03,0.99,0.29,0.09,0.31,38.07,-3.03,-28.31
24623538,0,-0.03,1.01,0.41,0.34,0.31,39.01,-3.17,-27.93
24672537,0,-0.03,1,0.29,0.34,0.19,38.56,-3.17,-28.66
24723158,0,-0.03,1,0.23,0.15,0,38.57,-2.67,-28.59
24773123,0.01,-0.03,1.01,0.29,0.15,0.25,38.99,-3.08,-27.54
24822997,-0.01,-0.03,1,0.23,0.09,0.25,38.55,-3.26,-28.12
24872029,0.01,-0.03,1,0.29,0.28,0.06,38.76,-3.45,-27.86
24922350,-0.01,-0.03,1,0.41,0.34,0.31,38.62,-3.27,-28.74
24971211,0,-0.03,1,0.78,1.25,0.06,38.37,-3.02,-28.31
25021565,0.01,-0.03,1,0.35,0.52,0.13,37.94,-3.52,-27.87
25071856,0,-0.03,1,0.11,-0.09,0.06,39.38,-3.2,-27.65
25120472,0,-0.03,1,-0.07,-0.21,0.25,39.1,-3.06,-28.08
25171030,-0.01,-0.03,1,0.35,0.28,0.06,38.42,-3.27,-27.77
25221274,-0.01,-0.03,1,0.35,0.7,-0.06,38.26,-3.55,-27.73
25270989,0.01,-0.03,1,0.47,0.52,0,38.27,-2.95,-28.03
25320512,0,-0.04,1.01,1.39,2.23,0.13,38.11,-1.94,-27.78
25369754,0,-0.03,1.01,-0.01,1.74,0.06,38.1,-2.2,-28.59
25420310,0.01,-0.03,1.01,-0.01,1.07,0.25,38.79,-2.59,-27.34
25469042,0.01,-0.03,1,-0.26,0.64,0.98,38.66,-3.19,-27.84
25519193,0.01,-0.03,1,0.17,0.34,0.19,38.84,-2.54,-29.03
25569832,0,-0.03,1,0.41,0.4,0.55,39.06,-3.14,-27.81
25618837,0.01,-0.03,1,0.72,0.89,1.04,39.69,-3.8,-27.88
25668819,0.01,-0.03,1.01,2.06,1.74,1.41,41,-5.38,-27.51
25717891,0,-0.03,1,0.23,0.15,0.43,40.78,-5.37,-27.94
25768179,0.01,-0.03,1.01,0.05,0.64,0.31,40.63,-5.41,-27.93
25818621,0,-0.03,0.99,0.47,1.25,0.25,40.59,-4.71,-28.2
