t,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
8962051,0.00,-0.03,1.00,-0.13,0.08,-0.07,36.13,-2.89,-25.77
9007416,0.00,-0.03,1.00,0.11,0.14,0.17,36.82,-2.71,-25.92
9056128,0.01,-0.03,1.00,0.30,0.20,0.11,36.65,-2.39,-25.21
9106262,0.00,-0.03,1.00,0.24,0.14,0.17,36.87,-2.92,-25.73
9156267,-0.00,-0.03,1.00,0.17,0.14,0.05,36.61,-2.17,-25.85
9205840,0.00,-0.03,1.00,0.17,0.14,0.11,37.07,-2.26,-25.49
9255519,0.00,-0.03,1.00,0.30,0.20,0.11,36.51,-2.83,-25.39
9305993,0.00,-0.03,1.00,0.24,0.14,0.17,37.28,-2.28,-25.48
9355975,0.00,-0.03,1.00,0.24,0.20,0.17,36.66,-2.34,-25.24
9405942,0.00,-0.03,1.00,0.24,0.14,0.05,36.82,-2.67,-25.44
9456099,0.00,-0.03,1.00,0.17,0.38,0.11,36.85,-2.47,-25.56
9504750,0.01,-0.03,0.99,0.24,0.32,0.11,37.16,-2.34,-26.01
9554712,0.00,-0.03,1.00,0.30,0.26,0.11,36.68,-2.53,-24.43
9604805,0.00,-0.03,1.00,0.36,0.20,0.11,36.94,-2.19,-25.59
9654772,0.00,-0.03,1.00,0.30,0.20,0.11,36.06,-2.31,-25.79
9704619,0.00,-0.03,1.00,0.30,0.38,0.17,36.08,-2.38,-25.90
9754654,0.01,-0.03,1.00,0.17,0.26,-0.01,36.44,-2.42,-25.85
9804883,0.00,-0.03,1.00,0.36,0.26,0.11,36.39,-2.17,-26.40
9854579,0.00,-0.03,1.00,0.30,0.26,0.11,36.87,-2.20,-24.83
9904093,0.00,-0.03,1.00,0.17,0.20,0.11,36.49,-2.16,-24.83
9955252,0.00,-0.03,1.00,0.24,0.26,0.11,36.61,-2.49,-25.90
10004031,0.00,-0.03,1.00,0.30,0.44,0.17,36.39,-2.03,-25.01
10054357,0.00,-0.03,1.00,0.30,0.32,0.17,36.84,-1.86,-24.84
10104872,0.00,-0.03,1.00,0.30,0.20,0.05,37.11,-2.20,-24.82
10153403,0.00,-0.03,1.00,0.24,0.20,0.11,37.22,-1.79,-26.28
10204190,0.00,-0.03,1.00,0.24,0.26,0.05,36.77,-1.99,-25.68
10253152,0.00,-0.03,1.00,0.30,0.32,0.11,36.50,-2.19,-24.66
10303325,0.00,-0.03,1.00,0.24,0.26,0.23,36.83,-2.09,-24.56
10353586,0.00,-0.03,1.00,0.36,0.20,-0.01,36.51,-2.31,-23.85
10403738,0.00,-0.03,1.00,0.30,0.14,0.11,37.05,-1.83,-25.29
10453818,0.00,-0.03,1.00,0.30,0.14,0.05,36.91,-2.39,-25.10
10504009,0.00,-0.03,1.01,0.42,0.44,0.23,36.93,-2.00,-25.96
10552895,0.00,-0.03,1.00,0.36,0.20,0.05,36.21,-1.56,-25.24
10602501,0.00,-0.03,1.00,0.17,0.26,-0.38,36.90,-1.56,-25.59
10653112,0.01,-0.03,1.00,0.42,-0.23,-43.90,37.01,-1.55,-26.03
10703632,-0.02,-0.04,1.01,0.60,0.01,-89.37,38.35,-1.14,-25.06
10752692,0.03,-0.10,1.01,0.85,-0.23,-162.00,39.40,0.02,-25.13
10803487,0.01,-0.00,1.00,0.72,-0.66,-179.33,40.97,2.73,-25.15
10852320,-0.01,-0.01,1.00,0.72,-0.47,-150.83,41.33,5.08,-24.46
10902813,0.01,-0.04,1.00,0.72,-0.17,-155.96,41.41,7.02,-24.05
10951901,0.00,-0.01,1.00,0.54,0.08,-127.82,40.65,8.87,-25.13
11001857,-0.01,-0.03,1.00,0.54,0.01,-95.59,40.58,10.28,-25.72
11052051,-0.05,0.02,1.00,0.48,-0.23,-60.74,39.92,11.78,-24.93
